panglao_ontology	panglao_annotation	original_panglao_name	blueprint_ontology	blueprint_annotation_cl	consensus_ontology	consensus_annotation
CL:0000682	M cell of gut	Microfold cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0002199	oxyphil cell of parathyroid gland	Oxyphil cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000446	chief cell of parathyroid gland	Parathyroid chief cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0005009	renal principal cell	Principal cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0002306	epithelial cell of proximal tubule	Proximal tubule cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0002062	pulmonary alveolar type 1 cell	Pulmonary alveolar type I cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0002063	pulmonary alveolar type 2 cell	Pulmonary alveolar type II cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:1001596	salivary gland glandular cell	Salivary mucous cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0002140	acinar cell of sebaceous gland	Sebocytes	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000216	Sertoli cell	Sertoli cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0002562	hair germinal matrix cell	Trichocytes	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0002204	brush cell	Tuft cells	CL:0000066	epithelial cell	CL:0000066	epithelial cell
CL:0000148	melanocyte	Melanocytes	CL:0000148	melanocyte	CL:0000148	melanocyte
CL:0000594	skeletal muscle satellite cell	Satellite cells	CL:0000188	cell of skeletal muscle	CL:0000188	cell of skeletal muscle
CL:0000166	chromaffin cell	Chromaffin cells	CL:0000312	keratinocyte	CL:0002077	ecto-epithelial cell
CL:0000065	ependymal cell	Ependymal cells	CL:0000312	keratinocyte	CL:0002077	ecto-epithelial cell
CL:0000312	keratinocyte	Keratinocytes	CL:0000312	keratinocyte	CL:0000312	keratinocyte
CL:0000077	mesothelial cell	Mesothelial cells	CL:0000312	keratinocyte	CL:0000076	squamous epithelial cell
CL:0000165	neuroendocrine cell	Neuroendocrine cells	CL:0000312	keratinocyte	CL:0002077	ecto-epithelial cell
CL:0002167	olfactory epithelial cell	Olfactory epithelial cells	CL:0000312	keratinocyte	CL:0002077	ecto-epithelial cell
CL:0002481	peritubular myoid cell	Peritubular myoid cells	CL:0000312	keratinocyte	CL:0000076	squamous epithelial cell
CL:0000652	pinealocyte	Pinealocytes	CL:0000312	keratinocyte	CL:0002077	ecto-epithelial cell
CL:0000706	choroid plexus epithelial cell	Choroid plexus cells	CL:0000312	keratinocyte	CL:0002077	ecto-epithelial cell
CL:0002292	type I cell of carotid body	Glomus cells	CL:0000312	keratinocyte	CL:0002077	ecto-epithelial cell
CL:0000242	Merkel cell	Merkel cells	CL:0000312	keratinocyte	CL:0000312	keratinocyte
CL:0002062	pulmonary alveolar type 1 cell	Pulmonary alveolar type I cells	CL:0000312	keratinocyte	CL:0000076	squamous epithelial cell
CL:0002063	pulmonary alveolar type 2 cell	Pulmonary alveolar type II cells	CL:0000312	keratinocyte	CL:0000076	squamous epithelial cell
CL:0002140	acinar cell of sebaceous gland	Sebocytes	CL:0000312	keratinocyte	CL:0000362	epidermal cell
CL:0000216	Sertoli cell	Sertoli cells	CL:0000312	keratinocyte	CL:0000076	squamous epithelial cell
CL:0002562	hair germinal matrix cell	Trichocytes	CL:0000312	keratinocyte	CL:0000362	epidermal cell
CL:0000115	endothelial cell	Endothelial cells	CL:2000008	microvascular endothelial cell	CL:0000115	endothelial cell
CL:0002544	aortic endothelial cell	Endothelial cells (aorta)	CL:2000008	microvascular endothelial cell	CL:0000071	blood vessel endothelial cell
CL:2000044	brain microvascular endothelial cell	Endothelial cells (blood brain barrier)	CL:2000008	microvascular endothelial cell	CL:2000008	microvascular endothelial cell
CL:0000192	smooth muscle cell	Smooth muscle cells	CL:0000187	muscle cell	CL:0000187	muscle cell
CL:0019019	tracheobronchial smooth muscle cell	Airway smooth muscle cells	CL:0000187	muscle cell	CL:0000187	muscle cell
CL:0000746	cardiac muscle cell	Cardiomyocytes	CL:0000187	muscle cell	CL:0000187	muscle cell
CL:0000746	cardiac muscle cell	Myocytes	CL:0000187	muscle cell	CL:0000187	muscle cell
CL:0000359	vascular associated smooth muscle cell	Pulmonary vascular smooth muscle cells	CL:0000187	muscle cell	CL:0000187	muscle cell
CL:0000359	vascular associated smooth muscle cell	Vascular smooth muscle cells	CL:0000187	muscle cell	CL:0000187	muscle cell
CL:0002068	Purkinje myocyte	Purkinje fiber cells	CL:0000187	muscle cell	CL:0000187	muscle cell
CL:0000136	adipocyte	Adipocytes	CL:0000136	adipocyte	CL:0000136	adipocyte
CL:0000109	adrenergic neuron	Adrenergic neurons	CL:0000540	neuron	CL:0000540	neuron
CL:0000108	cholinergic neuron	Cholinergic neurons	CL:0000540	neuron	CL:0000540	neuron
CL:0000166	chromaffin cell	Chromaffin cells	CL:0000540	neuron	CL:0000540	neuron
CL:0000700	dopaminergic neuron	Dopaminergic neurons	CL:0000540	neuron	CL:0000540	neuron
CL:0007011	enteric neuron	Enteric neurons	CL:0000540	neuron	CL:0000540	neuron
CL:1001509	glycinergic neuron	Glycinergic neurons	CL:0000540	neuron	CL:0000540	neuron
CL:0000099	interneuron	Interneurons	CL:0000540	neuron	CL:0000540	neuron
CL:0000100	motor neuron	Motor neurons	CL:0000540	neuron	CL:0000540	neuron
CL:0000165	neuroendocrine cell	Neuroendocrine cells	CL:0000540	neuron	CL:0000540	neuron
CL:0000540	neuron	Neurons	CL:0000540	neuron	CL:0000540	neuron
CL:0008025	noradrenergic neuron	Noradrenergic neurons	CL:0000540	neuron	CL:0000540	neuron
CL:0000210	photoreceptor cell	Photoreceptor cells	CL:0000540	neuron	CL:0000540	neuron
CL:0000740	retinal ganglion cell	Retinal ganglion cells	CL:0000540	neuron	CL:0000540	neuron
CL:0000850	serotonergic neuron	Serotonergic neurons	CL:0000540	neuron	CL:0000540	neuron
CL:4023169	trigeminal neuron	Trigeminal neurons	CL:0000540	neuron	CL:0000540	neuron
CL:0000695	Cajal-Retzius cell	Cajal-Retzius cells	CL:0000540	neuron	CL:0000540	neuron
CL:0000617	GABAergic neuron	GABAergic neurons	CL:0000540	neuron	CL:0000540	neuron
CL:0000679	glutamatergic neuron	Glutaminergic neurons	CL:0000540	neuron	CL:0000540	neuron
CL:0000121	Purkinje cell	Purkinje neurons	CL:0000540	neuron	CL:0000540	neuron
CL:0000598	pyramidal neuron	Pyramidal cells	CL:0000540	neuron	CL:0000540	neuron
CL:0000650	mesangial cell	Mesangial cells	CL:0000669	pericyte	CL:0000669	pericyte
CL:0000669	pericyte	Pericytes	CL:0000669	pericyte	CL:0000669	pericyte
CL:0000127	astrocyte	Astrocytes	CL:0000127	astrocyte	CL:0000127	astrocyte
CL:0000065	ependymal cell	Ependymal cells	CL:0000127	astrocyte	CL:0000125	glial cell
CL:0000128	oligodendrocyte	Oligodendrocytes	CL:0000127	astrocyte	CL:0000126	macroglial cell
CL:0002085	tanycyte	Tanycytes	CL:0000127	astrocyte	CL:0000127	astrocyte
CL:0000644	Bergmann glial cell	Bergmann glia	CL:0000127	astrocyte	CL:0000127	astrocyte
CL:0000706	choroid plexus epithelial cell	Choroid plexus cells	CL:0000127	astrocyte	CL:0000125	glial cell
CL:4040002	enteroglial cell	Enteric glia cells	CL:0000127	astrocyte	CL:0000125	glial cell
CL:4042021	neuronal-restricted precursor	Immature neurons	CL:0000127	astrocyte	CL:0000095	neuron associated cell
CL:0000242	Merkel cell	Merkel cells	CL:0000127	astrocyte	CL:0000095	neuron associated cell
CL:0000129	microglial cell	Microglia	CL:0000127	astrocyte	CL:0000125	glial cell
CL:0000636	Mueller cell	Müller cells	CL:0000127	astrocyte	CL:0000125	glial cell
CL:0002453	oligodendrocyte precursor cell	Oligodendrocyte progenitor cells	CL:0000127	astrocyte	CL:0000095	neuron associated cell
CL:0002573	Schwann cell	Peri-islet Schwann cells	CL:0000127	astrocyte	CL:0000125	glial cell
CL:0002573	Schwann cell	Schwann cells	CL:0000127	astrocyte	CL:0000125	glial cell
CL:0000681	radial glial cell	Radial glia cells	CL:0000127	astrocyte	CL:0000125	glial cell
CL:0000516	perineural satellite cell	Satellite glial cells	CL:0000127	astrocyte	CL:0000095	neuron associated cell
CL:0000650	mesangial cell	Mesangial cells	CL:0000650	mesangial cell	CL:0000650	mesangial cell
CL:0000669	pericyte	Pericytes	CL:0000650	mesangial cell	CL:0000669	pericyte
